pathway_id	gene_id
mmu00270	mmu:229905
mmu00270	mmu:231691
mmu00270	mmu:232087
mmu00270	mmu:234724
mmu00270	mmu:236539
mmu00270	mmu:238505
mmu00270	mmu:246221
mmu00270	mmu:257635
mmu00270	mmu:268782
mmu00270	mmu:269378
mmu00270	mmu:56369
mmu00270	mmu:64918
mmu00270	mmu:66902
mmu00270	mmu:67870
mmu00270	mmu:67873
mmu00270	mmu:70266
mmu00270	mmu:73988
mmu00270	mmu:74340
mmu00270	mmu:76615
mmu00280	mmu:100328588
mmu00280	mmu:100470
mmu00280	mmu:104776
mmu00280	mmu:110446
mmu00280	mmu:110460
mmu00280	mmu:110695
mmu00280	mmu:110821
mmu00280	mmu:11364
mmu00280	mmu:113868
mmu00280	mmu:11409
mmu00280	mmu:11669
mmu00280	mmu:11671
mmu00280	mmu:11761
mmu00280	mmu:11992
mmu00280	mmu:12035
mmu00280	mmu:12036
mmu00280	mmu:12039
mmu00280	mmu:12040
mmu00280	mmu:13171
mmu00280	mmu:13382
mmu00280	mmu:14204
mmu00280	mmu:15107
mmu00280	mmu:15108
mmu00280	mmu:15356
mmu00280	mmu:15360
mmu00280	mmu:17850
mmu00280	mmu:208715
mmu00280	mmu:208982
mmu00280	mmu:213043
mmu00280	mmu:224530
mmu00280	mmu:227095
mmu00280	mmu:231086
mmu00280	mmu:235674
mmu00280	mmu:257633
mmu00280	mmu:268782
mmu00280	mmu:268860
mmu00280	mmu:353371
mmu00280	mmu:52538
mmu00280	mmu:56357
mmu00280	mmu:56752
mmu00280	mmu:58875
mmu00280	mmu:64059
mmu00280	mmu:66885
mmu00280	mmu:66904
mmu00280	mmu:66948
mmu00280	mmu:67041
mmu00280	mmu:71724
mmu00280	mmu:71872
mmu00280	mmu:72039
mmu00280	mmu:72535
mmu00280	mmu:73724
mmu00280	mmu:73988
mmu00280	mmu:74147
mmu00280	mmu:78038
mmu00280	mmu:78894
mmu00280	mmu:93747
mmu00280	mmu:97212
mmu00290	mmu:12035
mmu00290	mmu:12036
mmu00290	mmu:231691
mmu00290	mmu:257635
